日期,渠道号,所属渠道,渠道类型,合作方式,部门,汇总类型,新增用户数,1日留存率,3日留存率,7日留存率,14日留存率,30日留存率,1日arpu净值,3日arpu净值,7日arpu净值,14日arpu净值,30日arpu净值,LT3,LT7,LT14,LT30,LT180预估,LT365预估,ltv1,ltv3,ltv7,ltv14,ltv30,ltv180预估,ltv365预估,新增单价,roi365预估,花费,活跃arpu,净值系数,活跃arpu净值,ltv180净值,ltv365净值,roi365净值,系数a,系数b,拟合优度
20190630,815148,广点通-派瑞,线上CPC,付费推广,产品推广部,5,187,0.379679,0,0,0,0,0.040856,0,0,0,0,1,1,1,1,24.090128,39.890153,0.040856,0,0,0,0,1.001571,1.658473,2.547166,0.651105,476.32,0.041576,2.65,0.110176,2.654163,4.394953,1.725428,0.3903,-0.2723,0.99
20190630,815152,头条-齐欣,线上CPC,付费推广,产品推广部,5,41,0.195122,0,0,0,0,0.028293,0,0,0,0,1,1,1,1,0,0,0.028293,0,0,0,0,0,0,0,0,0,0.062515,2.65,0.165665,0,0,0,0,0,0
20190630,813185,广点通-派瑞,线上CPC,付费推广,产品推广部,5,151,0.403974,0,0,0,0,0.037219,0,0,0,0,1,1,1,1,0,0,0.037219,0,0,0,0,0,0,2.594702,0,391.8,0.048381,2.65,0.12821,0,0,0,0,0,0
20190630,800525,俊羽,线下渠道,付费推广,产品推广部,5,864,0.471065,0,0,0,0,0.002292,0,0,0,0,1,1,1,1,29.231829,48.92769,0.002292,0,0,0,0,0.42126,0.705097,0,0,0,0.014411,2.65,0.038189,1.116339,1.868507,0,0.4555,-0.2605,0.9899
20190630,815982,快手--微创,线上CPC,付费推广,产品推广部,5,244,0.327869,0,0,0,0,0.068074,0,0,0,0,1,1,1,1,0,0,0.068074,0,0,0,0,0,0,2.608033,0,636.36,0.051485,2.65,0.136435,0,0,0,0,0,0
20190630,815626,掌越科技,线上代理商,付费推广,产品推广部,5,103,0.660194,0,0,0,0,0.075437,0,0,0,0,1,1,1,1,25.52385,38.84728,0.075437,0,0,0,0,0.481278,0.732504,0,0,0,0.018856,2.65,0.049968,1.275387,1.941136,0,0.6824,-0.4032,0.9896
20190630,815312,洪亚科技,线上代理商,付费推广,产品推广部,5,253,0.225296,0,0,0,0,0.029328,0,0,0,0,1,1,1,1,0,0,0.029328,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0
20190630,813498,奇兔,线下渠道,付费推广,产品推广部,5,157,0.121019,0,0,0,0,0.006752,0,0,0,0,1,1,1,1,2.315644,2.649534,0.006752,0,0,0,0,0.041517,0.047503,0,0,0,0.017929,2.65,0.047512,0.11002,0.125883,0,0.1114,-0.7401,0.9506
20190630,810464,广点通--亿科,线上CPC,付费推广,产品推广部,5,503,0.292247,0,0,0,0,0.098668,0,0,0,0,1,1,1,1,14.587224,22.931921,0.098668,0,0,0,0,0.485244,0.76283,2.44497,0.312,1229.82,0.033265,2.65,0.088152,1.285897,2.0215,0.8268,0.2929,-0.3353,0.9928
20190630,815672,日月同行,线上代理商,付费推广,产品推广部,5,198,0.681818,0,0,0,0,0.052929,0,0,0,0,1,1,1,1,0,0,0.052929,0,0,0,0,0,0,0,0,0,0.03251,2.65,0.086151,0,0,0,0,0,0
